Time,Displacement,Force,Strain 1
(s),(mm),(kN),(%)
71.2,7.4716,1.2362,8.1033
71.3,7.4821,1.2365,8.1204
71.4,7.4927,1.2368,8.1356
71.5,7.5031,1.2371,8.1507
71.6,7.5137,1.2376,8.1676
71.7,7.5242,1.2377,8.1822
71.8,7.5346,1.238,8.1983
71.9,7.5451,1.2382,8.2143
72,7.5557,1.238,8.2277
72.1,7.5662,1.2385,8.244
72.2,7.5767,1.2387,8.2599
72.3,7.5872,1.2391,8.2751
72.4,7.5976,1.2394,8.2919
72.5,7.6082,1.2396,8.3072
72.6,7.6187,1.2399,8.3225
72.7,7.6292,1.2403,8.3395
72.8,7.6397,1.2406,8.3542
72.9,7.6502,1.241,8.3704
73,7.6607,1.2411,8.3863
73.1,7.6712,1.2415,8.4016
73.2,7.6816,1.2417,8.4182
73.3,7.6922,1.2419,8.4343
73.4,7.7027,1.2424,8.4491
73.5,7.7131,1.2425,8.4663
73.6,7.7236,1.2428,8.4813
73.7,7.7342,1.2432,8.4974
73.8,7.7446,1.2431,8.5136
73.9,7.7552,1.2431,8.5271
74,7.7657,1.2433,8.5434
74.1,7.7761,1.2435,8.5597
